CHINA,,,,USA,,,,JAPAN,,,,GERMANY,,,,ITALY,,
Rank,Journal,Count,,Rank,Journal,Count,,Rank,Journal,Count,,Rank,Journal,Count,,Rank,Journal,Count
1,ONCOTARGET,569,,1,PLOS ONE,222,,1,CANCER SCIENCE,119,,1,CANCERS,79,,1,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,133
2,ONCOLOGY LETTERS,535,,2,CANCER RESEARCH,221,,2,INTERNATIONAL JOURNAL OF ONCOLOGY,73,,2,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,55,,2,CANCERS,105
3,ONCOLOGY REPORTS,535,,3,CANCERS,191,,3,PLOS ONE,70,,3,PLOS ONE,43,,3,ONCOTARGET,58
4,FRONTIERS IN ONCOLOGY,497,,4,ONCOTARGET,171,,4,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,65,,4,ONCOTARGET,26,,4,CELLS,38
5,MOLECULAR MEDICINE REPORTS,407,,5,ONCOGENE,160,,5,SCIENTIFIC REPORTS,62,,5,CELLS,25,,5,FRONTIERS IN ONCOLOGY,30
6,ONCOTARGETS AND THERAPY,399,,6,JOURNAL OF BIOLOGICAL CHEMISTRY,128,,6,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,61,,6,INTERNATIONAL JOURNAL OF CANCER,23,,6,JOURNAL OF CLINICAL MEDICINE,21
7,CELL DEATH \\& DISEASE,397,,7,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,119,,7,CANCERS,57,,7,CANCER RESEARCH,20,,7,ONCOGENE,21
8,BIOMEDICINE \\& PHARMACOTHERAPY,319,,8,SCIENTIFIC REPORTS,97,,8,ONCOLOGY REPORTS,57,,8,ONCOGENE,20,,8,PLOS ONE,21
9,CANCER LETTERS,318,,9,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCE OF THE UNITED STATES OF AMERICA,95,,9,ANTICANCER RESEARCH,54,,9,SCIENTIFIC REPORTS,20,,9,SCIENTIFIC REPORTS,18
10,EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES,286,,10,MOLECULAR CANCER RESEARCH,81,,10,ONCOLOGY LETTERS,51,,10,BMC CANCER,19,,10,CELL DEATH \\& DISEASE,15
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Journal,Count,Country,Ranking,,,,,,,,,,,,,,,
ONCOTARGET,569,CHINA,1,,,,,,,,,,,,,,,
ONCOLOGY LETTERS,535,CHINA,2,,,,,,,,,,,,,,,
ONCOLOGY REPORTS,535,CHINA,3,,,,,,,,,,,,,,,
FRONTIERS IN ONCOLOGY,497,CHINA,4,,,,,,,,,,,,,,,
MOLECULAR MEDICINE REPORTS,407,CHINA,5,,,,,,,,,,,,,,,
ONCOTARGETS AND THERAPY,399,CHINA,6,,,,,,,,,,,,,,,
CELL DEATH \\& DISEASE,397,CHINA,7,,,,,,,,,,,,,,,
BIOMEDICINE \\& PHARMACOTHERAPY,319,CHINA,8,,,,,,,,,,,,,,,
CANCER LETTERS,318,CHINA,9,,,,,,,,,,,,,,,
EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES,286,CHINA,10,,,,,,,,,,,,,,,
PLOS ONE,222,USA,1,,,,,,,,,,,,,,,
CANCER RESEARCH,221,USA,2,,,,,,,,,,,,,,,
CANCERS,191,USA,3,,,,,,,,,,,,,,,
ONCOTARGET,171,USA,4,,,,,,,,,,,,,,,
ONCOGENE,160,USA,5,,,,,,,,,,,,,,,
JOURNAL OF BIOLOGICAL CHEMISTRY,128,USA,6,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,119,USA,7,,,,,,,,,,,,,,,
SCIENTIFIC REPORTS,97,USA,8,,,,,,,,,,,,,,,
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCE OF THE UNITED STATES OF AMERICA,95,USA,9,,,,,,,,,,,,,,,
MOLECULAR CANCER RESEARCH,81,USA,10,,,,,,,,,,,,,,,
CANCER SCIENCE,119,JAPAN,1,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF ONCOLOGY,73,JAPAN,2,,,,,,,,,,,,,,,
PLOS ONE,70,JAPAN,3,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,65,JAPAN,4,,,,,,,,,,,,,,,
SCIENTIFIC REPORTS,62,JAPAN,5,,,,,,,,,,,,,,,
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,61,JAPAN,6,,,,,,,,,,,,,,,
CANCERS,57,JAPAN,7,,,,,,,,,,,,,,,
ONCOLOGY REPORTS,57,JAPAN,8,,,,,,,,,,,,,,,
ANTICANCER RESEARCH,54,JAPAN,9,,,,,,,,,,,,,,,
ONCOLOGY LETTERS,51,JAPAN,10,,,,,,,,,,,,,,,
CANCERS,79,GERMANY,1,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,55,GERMANY,2,,,,,,,,,,,,,,,
PLOS ONE,43,GERMANY,3,,,,,,,,,,,,,,,
ONCOTARGET,26,GERMANY,4,,,,,,,,,,,,,,,
CELLS,25,GERMANY,5,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF CANCER,23,GERMANY,6,,,,,,,,,,,,,,,
CANCER RESEARCH,20,GERMANY,7,,,,,,,,,,,,,,,
ONCOGENE,20,GERMANY,8,,,,,,,,,,,,,,,
SCIENTIFIC REPORTS,20,GERMANY,9,,,,,,,,,,,,,,,
BMC CANCER,19,GERMANY,10,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,133,ITALY,1,,,,,,,,,,,,,,,
CANCERS,105,ITALY,2,,,,,,,,,,,,,,,
ONCOTARGET,58,ITALY,3,,,,,,,,,,,,,,,
CELLS,38,ITALY,4,,,,,,,,,,,,,,,
FRONTIERS IN ONCOLOGY,30,ITALY,5,,,,,,,,,,,,,,,
JOURNAL OF CLINICAL MEDICINE,21,ITALY,6,,,,,,,,,,,,,,,
ONCOGENE,21,ITALY,7,,,,,,,,,,,,,,,
PLOS ONE,21,ITALY,8,,,,,,,,,,,,,,,
SCIENTIFIC REPORTS,18,ITALY,9,,,,,,,,,,,,,,,
CELL DEATH \\& DISEASE,15,ITALY,10,,,,,,,,,,,,,,,