,X,bib_id,Title,Year,Journal,Book.Title,Type,Times.Cited,Address,Category,Country,First Author,Corresponding
1,51219,WOS:000288007100007,Hallmarks of Cancer: The Next Generation,2011,CELL,NA,Review,47279,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
2,3236,WOS:000275746600012,"Immunity, Inflammation, and Cancer",2010,CELL,NA,Review,8161,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
3,6112,WOS:000272169400013,Epithelial-Mesenchymal Transitions in Development and Disease,2009,CELL,NA,Review,7994,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
4,25240,WOS:000266601000006,The basics of epithelial-mesenchymal transition,2009,JOURNAL OF CLINICAL INVESTIGATION,NA,Review,7834,"35 RESEARCH DR, STE 300, ANN ARBOR, MI 48103 USA",Review,USA,,
5,822,WOS:000255903300024,The epithelial-mesenchymal transition generates cells with properties of stem cells,2008,CELL,NA,Article,6847,"600 TECHNOLOGY SQUARE, 5TH FLOOR, CAMBRIDGE, MA 02139 USA",Article,USA,Sendurai Mani,Robert Weinberg
6,30490,WOS:000332000300011,Molecular mechanisms of epithelial-mesenchymal transition,2014,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,6126,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
7,8645,WOS:000180446800013,Epithelial-mesenchymal transitions in tumour progression,2002,NATURE REVIEWS CANCER,NA,Review,5513,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,Topic too general,
8,47381,WOS:000291397800042,Role of YAP/TAZ in mechanotransduction,2011,NATURE,NA,Article,3934,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,Topic too general,
9,26824,WOS:000292413000024,Identification of human triple-negative breast cancer subtypes and preclinical models for selection of targeted therapies,2011,JOURNAL OF CLINICAL INVESTIGATION,NA,Article,3822,"2015 MANCHESTER RD, ANN ARBOR, MI 48104 USA",Article,USA,Topic too general,
10,37231,WOS:000288754500044,A Perspective on Cancer Cell Metastasis,2011,SCIENCE,NA,Review,3757,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",Review,USA,,
11,20046,WOS:000380254400009,EMT: 2016,2016,CELL,NA,Review,3329,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
12,19735,WOS:000235590100016,Complex networks orchestrate epithelial-mesenchymal transitions,2006,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,3257,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
13,49654,WOS:000395496000019,MicroRNA therapeutics: towards a new era for the management of cancer and other diseases,2017,NATURE REVIEWS DRUG DISCOVERY,NA,Review,3216,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
14,20008,WOS:000222300200010,"Twist, a master regulator of morphogenesis, plays an essential role in tumor metastasis",2004,CELL,NA,Article,3100,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,Jing Yang,Robert Weinberg
15,44701,WOS:000284047600009,Triple-Negative Breast Cancer,2010,NEW ENGLAND JOURNAL OF MEDICINE,NA,Review,3059,"WALTHAM WOODS CENTER, 860 WINTER ST,, WALTHAM, MA 02451-1413 USA",Review,USA,,
16,41497,WOS:000085148500011,The transcription factor Snail controls epithelial-mesenchymal transitions by repressing E-cadherin expression,2000,NATURE CELL BIOLOGY,NA,Article,2967,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,Amparo Cano,M. Angela Nieto
17,18413,WOS:000246799600013,"Snail, ZEB and bHLH factors in tumour progression: an alliance against the epithelial phenotype?",2007,NATURE REVIEWS CANCER,NA,Review,2631,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
18,35925,WOS:000256652200005,Epithelial-mesenchymal transition: At the crossroads of development and tumor metastasis,2008,DEVELOPMENTAL CELL,NA,Review,2464,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
19,4068,WOS:000456597900005,New insights into the mechanisms of epithelial-mesenchymal transition and implications for cancer,2019,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,2364,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
20,28143,WOS:000255771200003,Mechanisms of hepatic fibrogenesis,2008,GASTROENTEROLOGY,NA,Review,2176,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, PA 19103-2899 USA",Review,USA,,
21,45110,WOS:000250045000035,Tumour invasion and metastasis initiated by microRNA 10b in breast cancer,2007,NATURE,NA,Article,2154,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,Li Ma,Robert Weinberg
22,5151,WOS:000187348300002,Epithelial-mesenchymal transition and its implications for fibrosis,2003,JOURNAL OF CLINICAL INVESTIGATION,NA,Review,2136,"2015 MANCHESTER RD, ANN ARBOR, MI 48104 USA",Review,USA,,
23,52010,WOS:000220000100031,"Convergence of Wnt, β-catenin, and cadherin pathways",2004,SCIENCE,NA,Review,2136,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",Review,USA,,
24,38484,WOS:000281326400001,"EMT, cancer stem cells and drug resistance: an emerging axis of evil in the war on cancer",2010,ONCOGENE,NA,Review,2093,"CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
25,51880,WOS:000396277600017,Emerging Biological Principles of Metastasis,2017,CELL,NA,Review,2057,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
26,37094,WOS:000314792400012,Regulatory networks defining EMT during cancer initiation and progression,2013,NATURE REVIEWS CANCER,NA,Review,2029,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
27,50857,WOS:000264500800012,Metastasis: from dissemination to organ-specific colonization,2009,NATURE REVIEWS CANCER,NA,Review,2020,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
28,21179,WOS:000314270000059,Circulating Breast Tumor Cells Exhibit Dynamic Changes in Epithelial and Mesenchymal Composition,2013,SCIENCE,NA,Article,1957,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",Article,USA,Min Yu,Shyamala Maheswaran
29,52066,WOS:000267266000009,"Collective cell migration in morphogenesis, regeneration and cancer",2009,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,1895,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
30,3774,WOS:000427919100016,Targeting the IL-6/JAK/STAT3 signalling axis in cancer,2018,NATURE REVIEWS CLINICAL ONCOLOGY,NA,Review,1883,"75 VARICK ST, 9TH FLR, NEW YORK, NY 10013-1917 USA",Review,USA,,
31,22343,WOS:000257643400011,TEAD mediates YAP-dependent gene induction and growth control,2008,GENES \& DEVELOPMENT,NA,Article,1870,"1 BUNGTOWN RD, COLD SPRING HARBOR, NY 11724 USA",Article,USA,,
32,3797,WOS:000236304600005,"The epithelial-mesenchymal transition: new insights in signaling, development, and disease",2006,JOURNAL OF CELL BIOLOGY,NA,Review,1855,"950 THIRD AVE, 2ND FLR, NEW YORK, NY 10022 USA",Review,USA,,
33,19614,WOS:000266601000007,Biomarkers for epithelial-mesenchymal transitions,2009,JOURNAL OF CLINICAL INVESTIGATION,NA,Review,1845,"2015 MANCHESTER RD, ANN ARBOR, MI 48104 USA",Review,USA,,
34,3334,WOS:000283522700004,The Hippo Signaling Pathway in Development and Cancer,2010,DEVELOPMENTAL CELL,NA,Review,1829,"600 TECHNOLOGY SQUARE, 5TH FLOOR, CAMBRIDGE, MA 02139 USA",Review,USA,,
35,3120,WOS:000386978600006,Triple-negative breast cancer: challenges and opportunities of a heterogeneous disease,2016,NATURE REVIEWS CLINICAL ONCOLOGY,NA,Review,1826,"75 VARICK ST, 9TH FLR, NEW YORK, NY 10013-1917 USA",Review,USA,,
36,49960,WOS:000430956100011,"NF-κB, inflammation, immunity and cancer: coming of age",2018,NATURE REVIEWS IMMUNOLOGY,NA,Review,1822,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
37,11517,WOS:000458698800003,EMT Transition States during Tumor Progression and Metastasis,2019,TRENDS IN CELL BIOLOGY,NA,Review,1819,"84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND",Review,UNITED KINGDOM,,
38,1890,WOS:000397458100001,Wnt signaling in cancer,2017,ONCOGENE,NA,Review,1818,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
39,1218,WOS:000412431800007,Cancer stem cells revisited,2017,NATURE MEDICINE,NA,Review,1801,"75 VARICK ST, 9TH FLR, NEW YORK, NY 10013-1917 USA",Review,USA,,
40,36668,WOS:000337709600005,Depletion of Carcinoma-Associated Fibroblasts and Fibrosis Induces Immunosuppression and Accelerates Pancreas Cancer with Reduced Survival,2014,CANCER CELL,NA,Article,1791,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
41,38289,WOS:000411227700012,"EMT, CSCs, and drug resistance: the mechanistic link and clinical implications",2017,NATURE REVIEWS CLINICAL ONCOLOGY,NA,Review,1787,"75 VARICK ST, 9TH FLR, NEW YORK, NY 10013-1917 USA",Review,USA,,
42,27626,WOS:000255904500004,Role of platelet-derived growth factors in physiology and medicine,2008,GENES \& DEVELOPMENT,NA,Review,1785,"1 BUNGTOWN RD, COLD SPRING HARBOR, NY 11724 USA",Review,USA,,
43,40163,WOS:000340945000016,Circulating Tumor Cell Clusters Are Oligoclonal Precursors of Breast Cancer Metastasis,2014,CELL,NA,Article,1748,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
44,19244,WOS:000209950700029,Drug Resistance in Cancer: An Overview,2014,CANCERS,NA,Review,1735,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",Review,SWITZERLAND,,
45,50925,WOS:000454602900003,The role of MicroRNAs in human cancer,2016,SIGNAL TRANSDUCTION AND TARGETED THERAPY,NA,Review,1722,"CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
46,24766,WOS:000177308900010,Evidence that fibroblasts derive from epithelium during tissue fibrosis,2002,JOURNAL OF CLINICAL INVESTIGATION,NA,Article,1686,"2015 MANCHESTER RD, ANN ARBOR, MI 48104 USA",Article,USA,,
47,47833,WOS:000340303300007,"MicroRNAs in cancer: biomarkers, functions and therapy",2014,TRENDS IN MOLECULAR MEDICINE,NA,Review,1671,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",Review,UNITED KINGDOM,,
48,20553,WOS:000253180700022,Visualizing spatiotemporal dynamics of multicellular cell-cycle progression,2008,CELL,NA,Article,1603,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
49,22622,WOS:000351951800012,The RNA Binding Protein Quaking Regulates Formation of circRNAs,2015,CELL,NA,Article,1595,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
50,3217,WOS:000276993600007,Inflammation and Colon Cancer,2010,GASTROENTEROLOGY,NA,Article,1546,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, PA 19103-2899 USA",Article,USA,,
51,37980,WOS:000285506100003,Phenotypic and molecular characterization of the claudin-low intrinsic subtype of breast cancer,2010,BREAST CANCER RESEARCH,NA,Article,1545,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
52,46895,WOS:000232225900015,Molecular requirements for epithelial-mesenchymal transition during tumor progression,2005,CURRENT OPINION IN CELL BIOLOGY,NA,Review,1537,"84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND",Review,UNITED KINGDOM,,
53,48120,WOS:000298135700005,Extracellular Matrix Degradation and Remodeling in Development and Disease,2011,COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY,NA,Article,1522,"1 BUNGTOWN RD, COLD SPRING HARBOR, NY 11724 USA",Article,USA,,
54,50825,WOS:000297376600013,Cancer Invasion and the Microenvironment: Plasticity and Reciprocity,2011,CELL,NA,Review,1519,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
55,22392,WOS:000413263300007,Comprehensive Molecular Characterization of Muscle-Invasive Bladder Cancer,2017,CELL,NA,Article,1517,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
56,36790,WOS:000418044000017,Single-Cell Transcriptomic Analysis of Primary and Metastatic Tumor Ecosystems in Head and Neck Cancer,2017,CELL,NA,Article,1509,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
57,2000,WOS:000408686300010,Chemokines in the cancer microenvironment and their relevance in cancer immunotherapy,2017,NATURE REVIEWS IMMUNOLOGY,NA,Review,1453,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
58,36994,WOS:000423356800008,EMT in cancer,2018,NATURE REVIEWS CANCER,NA,Review,1453,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
59,20500,WOS:000264476600003,"EMT, the cytoskeleton, and cancer cell invasion",2009,CANCER AND METASTASIS REVIEWS,NA,Review,1440,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",Review,NETHERLANDS,,
60,1684,WOS:000453287200001,Immune checkpoint inhibitors: recent progress and potential biomarkers,2018,EXPERIMENTAL AND MOLECULAR MEDICINE,NA,Review,1432,"75 VARICK ST, 9TH FLR, NEW YORK, NY 10013-1917 USA",Review,USA,,
61,18731,WOS:000256308400020,A reciprocal repression between ZEB1 and members of the miR-200 family promotes EMT and invasion in cancer cells,2008,EMBO REPORTS,NA,Article,1423,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
62,35969,WOS:000187109200014,Epithelial-mesenchymal transitions in development and pathologies,2003,CURRENT OPINION IN CELL BIOLOGY,NA,Article,1412,"84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND",Article,UNITED KINGDOM,,
63,38030,WOS:000272251300017,The EMT-activator ZEB1 promotes tumorigenicity by repressing stemness-inhibiting microRNAs,2009,NATURE CELL BIOLOGY,NA,Article,1394,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
64,10222,WOS:000297086200007,Direct Signaling between Platelets and Cancer Cells Induces an Epithelial-Mesenchymal-Like Transition and Promotes Metastasis,2011,CANCER CELL,NA,Article,1364,"600 TECHNOLOGY SQUARE, 5TH FLOOR, CAMBRIDGE, MA 02139 USA",Article,USA,,
65,4624,WOS:000224250000008,Dual regulation of Snail by GSK-3β-mediated phosphorylation in control of epithelial-mesenchymal transition,2004,NATURE CELL BIOLOGY,NA,Article,1361,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
66,8278,WOS:000256232000002,The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors <i>ZEB1</i> and <i>ZEB2</i>,2008,JOURNAL OF BIOLOGICAL CHEMISTRY,NA,Article,1331,"9650 ROCKVILLE PIKE, BETHESDA, MD 20814-3996 USA",Article,USA,,
67,18825,WOS:000336025700013,A Long Noncoding RNA Activated by TGF-β Promotes the Invasion-Metastasis Cascade in Hepatocellular Carcinoma,2014,CANCER CELL,NA,Article,1325,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
68,44415,WOS:000315028300015,The Noncoding RNA <i>MALAT1</i> Is a Critical Regulator of the Metastasis Phenotype of Lung Cancer Cells,2013,CANCER RESEARCH,NA,Article,1316,"615 CHESTNUT ST, 17TH FLOOR, PHILADELPHIA, PA 19106-4404 USA",Article,USA,,
69,2778,WOS:000296553800009,RAS oncogenes: weaving a tumorigenic web,2011,NATURE REVIEWS CANCER,NA,Review,1292,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
70,36096,WOS:000343324300004,Signaling mechanisms of the epithelial-mesenchymal transition,2014,SCIENCE SIGNALING,NA,Review,1287,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",Review,USA,,
71,3516,WOS:000544554000001,Cholangiocarcinoma 2020: the next horizon in mechanisms and management,2020,NATURE REVIEWS GASTROENTEROLOGY \& HEPATOLOGY,NA,Article,1279,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",Article,GERMANY,,
72,41750,WOS:000264366600044,Generation of Breast Cancer Stem Cells through Epithelial-Mesenchymal Transition,2008,PLOS ONE,NA,Article,1279,"185 BERRY ST, STE 1300, SAN FRANCISCO, CA 94107 USA",Article,USA,,
73,1746,WOS:000519439200001,Molecular principles of metastasis: a hallmark of cancer revisited,2020,SIGNAL TRANSDUCTION AND TARGETED THERAPY,NA,Review,1272,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
74,20256,WOS:000336311000001,Chronic Inflammation and Cytokines in the Tumor Microenvironment,2014,JOURNAL OF IMMUNOLOGY RESEARCH,NA,Review,1266,"ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND",Review,UNITED KINGDOM,,
75,2519,WOS:000343216300008,THE BIOLOGY OF YAP/TAZ: HIPPO SIGNALING AND BEYOND,2014,PHYSIOLOGICAL REVIEWS,NA,Review,1261,"9650 ROCKVILLE PIKE, BETHESDA, MD 20814 USA",Review,USA,,
76,35800,WOS:000223353100004,Epithelial-mesenchymal transitions:: Twist in development and metastasis,2004,CELL,NA,Review,1250,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
77,36914,WOS:000255933600017,Loss of E-cadherin promotes metastasis via multiple downstream transcriptional pathways,2008,CANCER RESEARCH,NA,Article,1191,"615 CHESTNUT ST, 17TH FLOOR, PHILADELPHIA, PA 19106-4404 USA",Article,USA,,
78,22399,WOS:000303100000006,Hypoxia-inducible factors: mediators of cancer progression and targets for cancer therapy,2012,TRENDS IN PHARMACOLOGICAL SCIENCES,NA,Review,1172,"84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND",Review,UNITED KINGDOM,,
79,36069,WOS:000535680800006,Guidelines and definitions for research on epithelial-mesenchymal transition,2020,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,1163,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",Review,GERMANY,,
80,3585,WOS:000309515900022,Targeting the TGFβ signalling pathway in disease,2012,NATURE REVIEWS DRUG DISCOVERY,NA,Review,1155,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
81,7956,WOS:000294258700004,Vimentin in cancer and its potential as a molecular target for cancer therapy,2011,CELLULAR AND MOLECULAR LIFE SCIENCES,NA,Review,1153,"PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND",Review,SWITZERLAND,,
82,51536,WOS:000231623500017,Opinion - Migrating cancer stem cells - an integrated concept of malignant tumour progression,2005,NATURE REVIEWS CANCER,NA,Article,1150,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
83,22883,WOS:000407932500007,Integrated Genomic Characterization of Pancreatic Ductal Adenocarcinoma,2017,CANCER CELL,NA,Article,1144,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,,
84,37206,WOS:000231180400001,The Snail genes as inducers of cell movement and survival: implications in development and cancer,2005,DEVELOPMENT,NA,Review,1137,"BIDDER BUILDING, STATION RD, HISTON, CAMBRIDGE CB24 9LF, ENGLAND",Review,UNITED KINGDOM,,
85,2511,WOS:000457471300009,Turning foes to friends: targeting cancer-associated fibroblasts,2019,NATURE REVIEWS DRUG DISCOVERY,NA,Review,1126,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",Review,GERMANY,,
86,47334,WOS:000350747700006,The Cancer Stem Cell Niche: How Essential Is the Niche in Regulating Stemness of Tumor Cells?,2015,CELL STEM CELL,NA,Review,1122,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
87,27869,WOS:000269078700037,Residual breast cancers after conventional therapy display mesenchymal as well as tumor-initiating features,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,NA,Article,1093,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",Article,USA,,
88,22998,WOS:000406358300036,Dependency of a therapy-resistant state of cancer cells on a lipid peroxidase pathway,2017,NATURE,NA,Article,1090,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
89,21767,WOS:000253778300011,Direct regulation of <i>TWIST</i> by HIF-1α promotes metastasis,2008,NATURE CELL BIOLOGY,NA,Article,1089,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
90,845,WOS:000266601000008,Epithelial-mesenchymal transitions: the importance of changing cell state in development and disease,2009,JOURNAL OF CLINICAL INVESTIGATION,NA,Review,1079,"2015 MANCHESTER RD, ANN ARBOR, MI 48104 USA",Review,USA,,
91,2274,WOS:000188600800013,Cell adhesion and signalling by cadherins and Ig-CAMs in cancer,2004,NATURE REVIEWS CANCER,NA,Review,1055,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
92,45868,WOS:000396337400042,Integrated genomic and molecular characterization of cervical cancer,2017,NATURE,NA,Article,1047,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
93,3444,WOS:000438189700005,NRF2 and the Hallmarks of Cancer,2018,CANCER CELL,NA,Review,1046,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
94,18498,WOS:000296902300011,The Hippo Transducer TAZ Confers Cancer Stem Cell-Related Traits on Breast Cancer Cells,2011,CELL,NA,Article,1036,"600 TECHNOLOGY SQUARE, 5TH FLOOR, CAMBRIDGE, MA 02139 USA",Article,USA,,
95,1787,WOS:000335562000013,Unravelling mechanisms of p53-mediated tumour suppression,2014,NATURE REVIEWS CANCER,NA,Review,1024,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
96,22979,WOS:000230296600051,Rac1b and reactive oxygen species mediate MMP-3-induced EMT and genomic instability,2005,NATURE,NA,Article,1023,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,,
97,51243,WOS:000340820800009,FAK in cancer: mechanistic findings and clinical applications,2014,NATURE REVIEWS CANCER,NA,Review,1018,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
98,47150,WOS:000233201900007,Epithelial-mesenchymal transition in development and cancer:: role of phosphatidylinositol 3′ kinase/AKT pathways,2005,ONCOGENE,NA,Review,1012,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
99,49974,WOS:000315125800035,Oxidative stress and cancer: An overview,2013,AGEING RESEARCH REVIEWS,NA,Review,1008,"ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND",Review,IRELAND,,
100,106,WOS:000424631200016,Epithelial Mesenchymal Transition in Tumor Metastasis,2018,NA,"ANNUAL REVIEW OF PATHOLOGY: MECHANISMS OF DISEASE, VOL 13",Review; Book Chapter,980,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, CA 94303-0897 USA",Review,USA,,